Portfolio,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Quantity,Market Value
Fund One,TSLA,11/9/2020,439.5,452.5,396.029999,408.5,408.5,122101100,2377.386273,971162.2926
Fund One,WMT,11/9/2020,148,150.940002,143.479996,150.539993,149.99173,32502000,6977.096481,1046506.772
Fund One,XOM,11/9/2020,36.419998,38.009998,34.869999,36.080002,35.230026,220234500,29980.28347,1056206.166
Fund One,AAPL,11/16/2020,118.919998,120.989998,116.809998,117.339996,117.339996,389493400,8707.62531,1021752.719
Fund One,GOOGL,11/16/2020,1764.140015,1794.339966,1730.02002,1736.380005,1736.380005,5734500,612.3773789,1063319.836
Fund One,IBM,11/16/2020,118.300003,118.879997,115.889999,116.940002,116.940002,22498600,8745.694276,1022721.506
Fund One,INTC,11/16/2020,46.040001,46.75,44.700001,45.389999,45.389999,153895000,20897.79083,948550.7048
Fund One,KO,11/16/2020,54.5,54.619999,51.950001,52.669998,52.260231,77269900,19949.34423,1042557.338
Fund One,MSFT,11/16/2020,214.869995,217.740005,209.929993,210.389999,209.840622,125102000,4636.812933,972991.71
Fund One,PG,11/16/2020,144.779999,144.779999,138.449997,139.300003,138.464813,30481500,7105.054548,983800.0493
Fund One,TSLA,11/16/2020,408.929993,508.609985,404.089996,489.609985,489.609985,261353500,2377.386273,1163992.058
Fund One,WMT,11/16/2020,150.529999,153.399994,149.050003,150.240005,149.692825,47578900,6977.096481,1044421.282
Fund One,XOM,11/16/2020,37.59,39.130001,36.560001,36.939999,36.939999,141491300,29980.28347,1107471.641
Fund One,AAPL,11/23/2020,117.18,117.620003,112.589996,116.589996,116.589996,365024000,8707.62531,1015222
Fund One,GOOGL,11/23/2020,1740.219971,1797.01001,1710.180054,1787.02002,1787.02002,4245200,612.3773789,1094330.636
Fund One,IBM,11/23/2020,117.43,125.309998,117.269997,124.349998,124.349998,19630000,8745.694276,1087527.066
Fund One,INTC,11/23/2020,45.48,48.099998,45.450001,47.450001,47.450001,113439100,20897.79083,991600.1957
Fund One,KO,11/23/2020,52.950001,53.59,52.200001,52.700001,52.290001,45713600,19949.34423,1043151.23
Fund One,MSFT,11/23/2020,210.949997,216.270004,208.160004,215.229996,215.229996,95188300,4636.812933,997981.229
Fund One,PG,11/23/2020,139.320007,139.949997,137.529999,138.610001,137.778946,24535900,7105.054548,978926.9269
Fund One,TSLA,11/23/2020,503.5,598.780029,501.790009,585.76001,585.76001,190400100,2377.386273,1392577.807
Fund One,WMT,11/23/2020,150.369995,152.720001,149.369995,151.600006,151.047882,20181700,6977.096481,1053875.646
Fund One,XOM,11/23/2020,37.5,42.080002,37.279999,40.189999,40.189999,119497000,29980.28347,1204907.563
Fund One,AAPL,11/30/2020,116.970001,123.779999,116.809998,122.25,122.25,543809200,8707.62531,1064507.194
Fund One,GOOGL,11/30/2020,1775.650024,1843.829956,1747.839966,1823.76001,1823.76001,7223800,612.3773789,1116829.375
Fund One,IBM,11/30/2020,124.099998,127.379997,122.410004,127.199997,127.199997,25061800,8745.694276,1112452.286
Fund One,INTC,11/30/2020,47.419998,52.650002,47.27,51.990002,51.990002,227893300,20897.79083,1086476.187
Fund One,KO,11/30/2020,52.09,53.869999,51.080002,53.849998,53.431049,112527300,19949.34423,1065914.389
Fund One,MSFT,11/30/2020,214.100006,217.320007,210.839996,214.360001,214.360001,137507500,4636.812933,993947.225
Fund One,PG,11/30/2020,138,139.940002,135.539993,137.470001,136.645782,41132800,7105.054548,970875.7348
Fund One,TSLA,11/30/2020,602.210022,607.799988,541.210022,599.039978,599.039978,223114900,2377.386273,1424149.421
Fund One,WMT,11/30/2020,151.600006,153.660004,147.580002,148.910004,148.367676,41933000,6977.096481,1035175.59
Fund One,XOM,11/30/2020,39.799999,41.759998,37.970001,41.68,41.68,163249400,29980.28347,1249578.215
Fund One,AAPL,12/7/2020,122.309998,125.949997,120.150002,122.410004,122.410004,452278700,8707.62531,1065900.449
Fund One,GOOGL,12/7/2020,1815.550049,1829.290039,1733.530029,1774.800049,1774.800049,6063400,612.3773789,1086847.402
Fund One,IBM,12/7/2020,126.489998,127.690002,123.610001,124.269997,124.269997,29511600,8745.694276,1086827.401
Fund One,INTC,12/7/2020,51,51.290001,49.119999,49.73,49.73,177170000,20897.79083,1039247.138
Fund One,KO,12/7/2020,53.759998,53.779999,52.700001,53.349998,53.349998,62940500,19949.34423,1064297.475
Fund One,MSFT,12/7/2020,214.369995,216.949997,209.110001,213.259995,213.259995,138057400,4636.812933,988846.7029
Fund One,PG,12/7/2020,136.610001,138.779999,134.199997,136.509995,135.691528,33533400,7105.054548,964095.7081
Fund One,TSLA,12/7/2020,604.919983,654.320007,566.340027,609.98999,609.98999,305424100,2377.386273,1450181.829
Fund One,WMT,12/7/2020,148.460007,150,145.940002,147,146.46463,32282800,6977.096481,1021897.855
